ID,Work Item Type,Title,Assigned To,State,Area Path,Iteration Path,Description,Repro Steps,System Info,Acceptance Criteria
,Test Case,PRJ-DEF-201 - Idempotency replay guard blocks duplicates,qa.lead@sampleclient.com,Design,SampleProject\QA,SampleProject\Sprint-2,"Generated from RCA session prj-def-201-quick. Summary: Recurring duplicate records after nightly merge window. Root cause: Because ownership and governance for idempotency-by-design were not explicitly assigned, replay-risk controls were not translated into mandatory engineering and QA gates. Establishing explicit ownership plus required replay control checklists and CI rerun gate will prevent recurrence. Evidence: PRJ-DEF-201_sql-output-dup-count-2026-08-07.csv, PRJ-DEF-201_pipeline-run-log-merge-window-2026-08-07.txt.",1. Configure merge pipeline with replay/idempotency guard enabled.\n2. Execute deterministic batch input under merge key set A.\n3. Re-execute the same batch input in the same merge window.\n4. Query duplicate key count in target table.,Defect ID: PRJ-DEF-201. Component: CustomerActivityIngestion. Observed: Duplicate keys increased from 0 to 37 in repeated run. Expected: Duplicate key count remains 0 under idempotent merge.,Duplicate key count after rerun is 0 and pipeline run is marked successful.
,Test Case,PRJ-DEF-201 - Idempotency replay guard blocks duplicates - Negative,qa.lead@sampleclient.com,Design,SampleProject\QA,SampleProject\Sprint-2,"Negative variant. Generated from RCA session prj-def-201-quick. Summary: Recurring duplicate records after nightly merge window. Root cause: Because ownership and governance for idempotency-by-design were not explicitly assigned, replay-risk controls were not translated into mandatory engineering and QA gates. Establishing explicit ownership plus required replay control checklists and CI rerun gate will prevent recurrence. Evidence: PRJ-DEF-201_sql-output-dup-count-2026-08-07.csv, PRJ-DEF-201_pipeline-run-log-merge-window-2026-08-07.txt. Validate that missing/invalid control inputs or failed preconditions are rejected safely and surfaced with actionable diagnostics.",1. Configure merge pipeline with replay/idempotency guard enabled.\n2. Execute deterministic batch input under merge key set A.\n3. Re-execute the same batch input in the same merge window.\n4. Query duplicate key count in target table.\n5. Intentionally disable or misconfigure the target control for this scenario.\n6. Re-run validation and capture failure handling behavior.,Defect ID: PRJ-DEF-201. Component: CustomerActivityIngestion. Observed: Duplicate keys increased from 0 to 37 in repeated run. Expected: Duplicate key count remains 0 under idempotent merge. Negative variant coverage.,"System blocks unsafe progression, emits clear diagnostics, and does not allow silent pass on invalid conditions."
,Test Case,PRJ-DEF-201 - Idempotency replay guard blocks duplicates - Boundary,qa.lead@sampleclient.com,Design,SampleProject\QA,SampleProject\Sprint-2,"Boundary variant. Generated from RCA session prj-def-201-quick. Summary: Recurring duplicate records after nightly merge window. Root cause: Because ownership and governance for idempotency-by-design were not explicitly assigned, replay-risk controls were not translated into mandatory engineering and QA gates. Establishing explicit ownership plus required replay control checklists and CI rerun gate will prevent recurrence. Evidence: PRJ-DEF-201_sql-output-dup-count-2026-08-07.csv, PRJ-DEF-201_pipeline-run-log-merge-window-2026-08-07.txt. Validate behavior at threshold conditions for run volume, timing window, and duplicate count limits.",1. Configure merge pipeline with replay/idempotency guard enabled.\n2. Execute deterministic batch input under merge key set A.\n3. Re-execute the same batch input in the same merge window.\n4. Query duplicate key count in target table.\n5. Execute at lower boundary (minimum valid records / single replay cycle).\n6. Execute at upper boundary (maximum planned batch volume / edge replay window).,Defect ID: PRJ-DEF-201. Component: CustomerActivityIngestion. Observed: Duplicate keys increased from 0 to 37 in repeated run. Expected: Duplicate key count remains 0 under idempotent merge. Boundary variant coverage.,Control behavior remains deterministic and policy-compliant at both lower and upper boundary conditions.
,Test Case,PRJ-DEF-201 - Persisted dedup state survives reruns,qa.lead@sampleclient.com,Design,SampleProject\QA,SampleProject\Sprint-2,"Generated from RCA session prj-def-201-quick. Summary: Recurring duplicate records after nightly merge window. Root cause: Because ownership and governance for idempotency-by-design were not explicitly assigned, replay-risk controls were not translated into mandatory engineering and QA gates. Establishing explicit ownership plus required replay control checklists and CI rerun gate will prevent recurrence. Evidence: PRJ-DEF-201_sql-output-dup-count-2026-08-07.csv, PRJ-DEF-201_pipeline-run-log-merge-window-2026-08-07.txt.",1. Execute first merge run and persist dedup/replay state.\n2. Restart pipeline process/service.\n3. Re-run the same deterministic dataset and keys.\n4. Validate dedup state is reused and duplicate inserts are rejected.,Defect ID: PRJ-DEF-201. Component: CustomerActivityIngestion. Observed: Duplicate keys increased from 0 to 37 in repeated run. Expected: Duplicate key count remains 0 under idempotent merge.,Persisted dedup state is read on rerun and prevents duplicate inserts across process restarts.
,Test Case,PRJ-DEF-201 - Persisted dedup state survives reruns - Negative,qa.lead@sampleclient.com,Design,SampleProject\QA,SampleProject\Sprint-2,"Negative variant. Generated from RCA session prj-def-201-quick. Summary: Recurring duplicate records after nightly merge window. Root cause: Because ownership and governance for idempotency-by-design were not explicitly assigned, replay-risk controls were not translated into mandatory engineering and QA gates. Establishing explicit ownership plus required replay control checklists and CI rerun gate will prevent recurrence. Evidence: PRJ-DEF-201_sql-output-dup-count-2026-08-07.csv, PRJ-DEF-201_pipeline-run-log-merge-window-2026-08-07.txt. Validate that missing/invalid control inputs or failed preconditions are rejected safely and surfaced with actionable diagnostics.",1. Execute first merge run and persist dedup/replay state.\n2. Restart pipeline process/service.\n3. Re-run the same deterministic dataset and keys.\n4. Validate dedup state is reused and duplicate inserts are rejected.\n5. Intentionally disable or misconfigure the target control for this scenario.\n6. Re-run validation and capture failure handling behavior.,Defect ID: PRJ-DEF-201. Component: CustomerActivityIngestion. Observed: Duplicate keys increased from 0 to 37 in repeated run. Expected: Duplicate key count remains 0 under idempotent merge. Negative variant coverage.,"System blocks unsafe progression, emits clear diagnostics, and does not allow silent pass on invalid conditions."
,Test Case,PRJ-DEF-201 - Persisted dedup state survives reruns - Boundary,qa.lead@sampleclient.com,Design,SampleProject\QA,SampleProject\Sprint-2,"Boundary variant. Generated from RCA session prj-def-201-quick. Summary: Recurring duplicate records after nightly merge window. Root cause: Because ownership and governance for idempotency-by-design were not explicitly assigned, replay-risk controls were not translated into mandatory engineering and QA gates. Establishing explicit ownership plus required replay control checklists and CI rerun gate will prevent recurrence. Evidence: PRJ-DEF-201_sql-output-dup-count-2026-08-07.csv, PRJ-DEF-201_pipeline-run-log-merge-window-2026-08-07.txt. Validate behavior at threshold conditions for run volume, timing window, and duplicate count limits.",1. Execute first merge run and persist dedup/replay state.\n2. Restart pipeline process/service.\n3. Re-run the same deterministic dataset and keys.\n4. Validate dedup state is reused and duplicate inserts are rejected.\n5. Execute at lower boundary (minimum valid records / single replay cycle).\n6. Execute at upper boundary (maximum planned batch volume / edge replay window).,Defect ID: PRJ-DEF-201. Component: CustomerActivityIngestion. Observed: Duplicate keys increased from 0 to 37 in repeated run. Expected: Duplicate key count remains 0 under idempotent merge. Boundary variant coverage.,Control behavior remains deterministic and policy-compliant at both lower and upper boundary conditions.
,Test Case,PRJ-DEF-201 - CI rerun gate fails on duplicate count greater than zero,qa.lead@sampleclient.com,Design,SampleProject\QA,SampleProject\Sprint-2,"Generated from RCA session prj-def-201-quick. Summary: Recurring duplicate records after nightly merge window. Root cause: Because ownership and governance for idempotency-by-design were not explicitly assigned, replay-risk controls were not translated into mandatory engineering and QA gates. Establishing explicit ownership plus required replay control checklists and CI rerun gate will prevent recurrence. Evidence: PRJ-DEF-201_sql-output-dup-count-2026-08-07.csv, PRJ-DEF-201_pipeline-run-log-merge-window-2026-08-07.txt.",1. Trigger CI job that runs deterministic dataset twice under same merge keys.\n2. Capture duplicate count SQL output artifact from gate.\n3. Simulate a failing condition with duplicates greater than zero.\n4. Verify gate marks build as failed and blocks release.,Defect ID: PRJ-DEF-201. Component: CustomerActivityIngestion. Observed: Duplicate keys increased from 0 to 37 in repeated run. Expected: Duplicate key count remains 0 under idempotent merge.,Build is blocked when duplicate count is greater than 0; passes only when duplicate count equals 0.
,Test Case,PRJ-DEF-201 - CI rerun gate fails on duplicate count greater than zero - Negative,qa.lead@sampleclient.com,Design,SampleProject\QA,SampleProject\Sprint-2,"Negative variant. Generated from RCA session prj-def-201-quick. Summary: Recurring duplicate records after nightly merge window. Root cause: Because ownership and governance for idempotency-by-design were not explicitly assigned, replay-risk controls were not translated into mandatory engineering and QA gates. Establishing explicit ownership plus required replay control checklists and CI rerun gate will prevent recurrence. Evidence: PRJ-DEF-201_sql-output-dup-count-2026-08-07.csv, PRJ-DEF-201_pipeline-run-log-merge-window-2026-08-07.txt. Validate that missing/invalid control inputs or failed preconditions are rejected safely and surfaced with actionable diagnostics.",1. Trigger CI job that runs deterministic dataset twice under same merge keys.\n2. Capture duplicate count SQL output artifact from gate.\n3. Simulate a failing condition with duplicates greater than zero.\n4. Verify gate marks build as failed and blocks release.\n5. Intentionally disable or misconfigure the target control for this scenario.\n6. Re-run validation and capture failure handling behavior.,Defect ID: PRJ-DEF-201. Component: CustomerActivityIngestion. Observed: Duplicate keys increased from 0 to 37 in repeated run. Expected: Duplicate key count remains 0 under idempotent merge. Negative variant coverage.,"System blocks unsafe progression, emits clear diagnostics, and does not allow silent pass on invalid conditions."
,Test Case,PRJ-DEF-201 - CI rerun gate fails on duplicate count greater than zero - Boundary,qa.lead@sampleclient.com,Design,SampleProject\QA,SampleProject\Sprint-2,"Boundary variant. Generated from RCA session prj-def-201-quick. Summary: Recurring duplicate records after nightly merge window. Root cause: Because ownership and governance for idempotency-by-design were not explicitly assigned, replay-risk controls were not translated into mandatory engineering and QA gates. Establishing explicit ownership plus required replay control checklists and CI rerun gate will prevent recurrence. Evidence: PRJ-DEF-201_sql-output-dup-count-2026-08-07.csv, PRJ-DEF-201_pipeline-run-log-merge-window-2026-08-07.txt. Validate behavior at threshold conditions for run volume, timing window, and duplicate count limits.",1. Trigger CI job that runs deterministic dataset twice under same merge keys.\n2. Capture duplicate count SQL output artifact from gate.\n3. Simulate a failing condition with duplicates greater than zero.\n4. Verify gate marks build as failed and blocks release.\n5. Execute at lower boundary (minimum valid records / single replay cycle).\n6. Execute at upper boundary (maximum planned batch volume / edge replay window).,Defect ID: PRJ-DEF-201. Component: CustomerActivityIngestion. Observed: Duplicate keys increased from 0 to 37 in repeated run. Expected: Duplicate key count remains 0 under idempotent merge. Boundary variant coverage.,Control behavior remains deterministic and policy-compliant at both lower and upper boundary conditions.
,Test Case,PRJ-DEF-201 - Release checklist enforces idempotency sign-off,qa.lead@sampleclient.com,Design,SampleProject\QA,SampleProject\Sprint-2,"Generated from RCA session prj-def-201-quick. Summary: Recurring duplicate records after nightly merge window. Root cause: Because ownership and governance for idempotency-by-design were not explicitly assigned, replay-risk controls were not translated into mandatory engineering and QA gates. Establishing explicit ownership plus required replay control checklists and CI rerun gate will prevent recurrence. Evidence: PRJ-DEF-201_sql-output-dup-count-2026-08-07.csv, PRJ-DEF-201_pipeline-run-log-merge-window-2026-08-07.txt.",1. Open release checklist for target deployment candidate.\n2. Locate idempotency verification and evidence attachment fields.\n3. Attempt release without completing idempotency sign-off.\n4. Complete sign-off and reattempt release approval.,Defect ID: PRJ-DEF-201. Component: CustomerActivityIngestion. Observed: Duplicate keys increased from 0 to 37 in repeated run. Expected: Duplicate key count remains 0 under idempotent merge.,Release cannot be approved without idempotency sign-off and linked evidence artifacts.
